,Generation,FP,FN,Number of Elements
410,45.0,12.4,20.4,21.0
411,45.0,12.6,19.8,36.0
412,45.0,12.8,18.6,42.0
413,45.0,13.8,19.2,41.0
414,45.0,14.0,18.8,25.0
415,45.0,15.4,20.6,19.0
416,45.0,15.8,18.8,22.0
417,45.0,16.0,18.4,67.0
418,45.0,16.2,18.6,23.0
419,45.0,16.6,18.2,35.0
420,45.0,18.8,19.0,21.0
421,45.0,23.2,16.0,55.0
422,45.0,86.59999999999998,14.0,50.0
423,45.0,102.8,2.2,53.0
424,46.0,0.0,68.40000000000002,50.0
425,46.0,2.0,37.2,75.0
426,46.0,4.8,60.4,41.0
427,46.0,5.4,41.2,25.0
428,46.0,6.6,39.6,62.0
429,46.0,7.4,27.8,45.0
430,46.0,8.199999999999998,24.2,47.0
431,46.0,10.8,21.4,48.0
432,46.0,11.2,20.2,48.0
433,46.0,11.4,20.0,69.0
434,46.0,11.4,20.6,40.0
435,46.0,11.4,20.8,19.0
436,46.0,11.6,19.4,41.0
437,46.0,11.6,20.4,34.0
438,46.0,12.4,19.0,83.0
439,46.0,12.4,20.4,21.0
440,46.0,12.6,19.8,36.0
441,46.0,12.8,18.6,42.0
442,46.0,13.8,19.2,41.0
443,46.0,14.0,18.8,23.0
444,46.0,15.2,18.2,46.0
445,46.0,15.4,20.6,19.0
446,46.0,15.8,18.8,22.0
447,46.0,16.2,18.6,23.0
448,46.0,16.6,18.2,35.0
449,46.0,18.8,19.0,21.0
450,46.0,23.2,16.0,55.0
451,46.0,86.59999999999998,14.0,50.0
452,46.0,102.8,2.2,53.0
453,47.0,0.0,68.40000000000002,50.0
454,47.0,2.0,37.2,48.0
455,47.0,3.6,34.2,63.0
456,47.0,4.8,60.4,41.0
457,47.0,5.4,41.2,25.0
458,47.0,7.4,27.8,45.0
459,47.0,8.199999999999998,24.2,47.0
460,47.0,8.199999999999998,24.8,44.0
461,47.0,10.8,21.4,30.0
462,47.0,11.2,20.2,48.0
463,47.0,11.4,20.0,69.0
464,47.0,11.4,20.6,40.0
465,47.0,11.4,20.8,19.0
466,47.0,11.6,19.4,41.0
467,47.0,11.6,20.4,34.0
468,47.0,12.0,19.2,97.0
469,47.0,12.4,19.0,83.0
470,47.0,12.4,20.4,21.0
471,47.0,12.6,19.8,36.0
472,47.0,12.8,18.6,42.0
473,47.0,13.8,19.2,41.0
474,47.0,14.0,18.8,23.0
475,47.0,15.2,18.2,46.0
476,47.0,15.4,20.6,19.0
477,47.0,15.8,18.8,22.0
478,47.0,16.2,18.6,23.0
479,47.0,16.6,18.2,34.0
480,47.0,18.8,19.0,21.0
481,47.0,23.2,16.0,55.0
482,47.0,86.59999999999998,14.0,50.0
483,47.0,102.8,2.2,53.0
484,48.0,0.0,68.40000000000002,50.0
485,48.0,2.0,37.2,48.0
486,48.0,3.6,34.2,63.0
487,48.0,4.8,60.4,41.0
488,48.0,5.4,41.2,25.0
489,48.0,7.4,27.8,45.0
490,48.0,8.199999999999998,24.2,47.0
491,48.0,8.199999999999998,24.8,44.0
492,48.0,10.4,19.8,60.0
493,48.0,10.8,21.4,30.0
494,48.0,11.2,20.2,48.0
495,48.0,11.4,20.6,40.0
496,48.0,11.4,20.8,19.0
497,48.0,11.6,19.4,41.0
498,48.0,11.6,20.4,34.0
499,48.0,12.0,19.2,97.0
500,48.0,12.4,19.0,83.0
501,48.0,12.4,20.4,21.0
502,48.0,12.6,19.8,36.0
503,48.0,12.8,18.6,42.0
504,48.0,13.8,19.2,41.0
505,48.0,14.0,18.8,23.0
506,48.0,15.2,18.2,46.0
507,48.0,15.4,20.6,19.0
508,48.0,15.8,18.8,22.0
509,48.0,16.2,18.6,23.0
510,48.0,16.6,18.2,34.0
511,48.0,18.0,16.8,114.0
512,48.0,18.0,18.0,66.0
513,48.0,18.8,19.0,21.0
514,48.0,19.0,18.2,31.0
515,48.0,22.2,29.6,17.0
516,48.0,23.2,16.0,55.0
517,48.0,86.59999999999998,14.0,50.0
518,48.0,102.8,2.2,53.0
